address,LATITUDE,LONGITUDE
110 BUKIT PURMEI ROAD,1.2738047,103.8270224
110 CLEMENTI STREET 13,1.3226482,103.7711138
110 COMMONWEALTH CRESCENT,1.3068965,103.7986799
110 GANGSA ROAD,1.3780371,103.7679619
110 HOUGANG AVENUE 1,1.3547661,103.8895827
110 JURONG EAST STREET 13,1.3360408,103.7438083
110 LENGKONG TIGA,1.3234922,103.9109954
110 LORONG 1 TOA PAYOH,1.3414985,103.8463986
110 MCNAIR ROAD,1.3220215,103.8589183
110 PASIR RIS STREET 11,1.3687002,103.9563443
110 RIVERVALE WALK,1.3832432,103.9000731
110 SERANGOON NORTH AVENUE 1,1.3693645,103.871379
110 SIMEI STREET 1,1.3427475,103.950213
110 SPOTTISWOODE PARK ROAD,1.2736855,103.836452
110 TAMPINES STREET 11,1.3469845,103.9492863
110 TECK WHYE LANE,1.3782432,103.7519843
110 WHAMPOA ROAD,1.3267848,103.8558174
110 WOODLANDS STREET 13,1.4376042,103.7815724
110 YISHUN RING ROAD,1.4335327,103.8290438
110A DEPOT ROAD,1.281582,103.8093163
110A PUNGGOL FIELD,1.3959736,103.9094372
110B PUNGGOL FIELD,1.3957157,103.9096637
110C PUNGGOL FIELD,1.395481,103.9100894
110D PUNGGOL FIELD,1.3952101,103.9103767
111 ALJUNIED CRESCENT,1.3204335,103.8841613
111 ANG MO KIO AVENUE 4,1.3708942,103.8372906
111 BEDOK NORTH ROAD,1.3314645,103.9353721
111 BEDOK RESERVOIR ROAD,1.3299176,103.910087
111 BISHAN STREET 12,1.3478652,103.8546861
111 BUKIT BATOK WEST AVENUE 6,1.3484069,103.7459715
111 BUKIT PURMEI ROAD,1.2743901,103.8272301
111 CLEMENTI STREET 13,1.3232251,103.7711551
111 COMMONWEALTH CRESCENT,1.3064552,103.7984912
111 EDGEFIELD PLAINS,1.3969199,103.9066297
111 GANGSA ROAD,1.3782048,103.7683562
111 HO CHING ROAD,1.3339595,103.7233219
111 HOUGANG AVENUE 1,1.3548724,103.8885268
111 JURONG EAST STREET 13,1.3387995,103.7355715
111 LENGKONG TIGA,1.3241484,103.9109099
111 LORONG 1 TOA PAYOH,1.3412408,103.8454959
111 LORONG 3 GEYLANG,1.3122612,103.8740659
111 MCNAIR ROAD,1.3212513,103.8583642
111 PASIR RIS STREET 11,1.3679797,103.9563747
111 RIVERVALE WALK,1.3842644,103.9006311
111 SERANGOON NORTH AVENUE 1,1.3690703,103.8704669
111 SIMEI STREET 1,1.3423566,103.9495262
111 TAMPINES STREET 11,1.3468545,103.9473691
111 TECK WHYE LANE,1.3778674,103.7521129
111 WHAMPOA ROAD,1.3265691,103.85621
111 WOODLANDS STREET 13,1.4379153,103.7820991
111 YISHUN RING ROAD,1.4332433,103.8285589
111A DEPOT ROAD,1.2811688,103.8087941
111B DEPOT ROAD,1.2810247,103.8088407
112 ALJUNIED CRESCENT,1.3204256,103.8850943
112 ANG MO KIO AVENUE 4,1.3713056,103.8360263
112 BEDOK NORTH ROAD,1.3310579,103.9355127
112 BEDOK RESERVOIR ROAD,1.3296391,103.9102639
112 BISHAN STREET 12,1.3465171,103.8486261
112 BUKIT BATOK WEST AVENUE 6,1.3483234,103.7452299
112 BUKIT PURMEI ROAD,1.2745295,103.8259281
112 CLEMENTI STREET 13,1.3231939,103.7699671
112 COMMONWEALTH CRESCENT,1.3067105,103.7982028
112 EDGEFIELD PLAINS,1.3962627,103.9071328
112 HO CHING ROAD,1.3339574,103.7236817
112 HOUGANG AVENUE 1,1.3544102,103.8885843
112 JURONG EAST STREET 13,1.3360621,103.7437891
112 LENGKONG TIGA,1.3234731,103.9112703
112 LORONG 1 TOA PAYOH,1.3414896,103.8454719
112 LORONG 3 GEYLANG,1.3121487,103.8738296
112 MCNAIR ROAD,1.3212251,103.8589904
112 PASIR RIS STREET 11,1.3676548,103.9561402
112 PENDING ROAD,1.3785993,103.7687445
112 RIVERVALE WALK,1.3835791,103.9013332
112 SERANGOON NORTH AVENUE 1,1.3692188,103.8715866
112 SIMEI STREET 1,1.3429555,103.949527
112 TAMPINES STREET 11,1.3462368,103.9475961
112 TECK WHYE LANE,1.3775611,103.7518943
112 WHAMPOA ROAD,1.3261975,103.8568817
112 WOODLANDS STREET 13,1.4383561,103.7817148
112 YISHUN RING ROAD,1.4342106,103.8290949
112A DEPOT ROAD,1.281639,103.80804
112B DEPOT ROAD,1.281697,103.807681
113 ANG MO KIO AVENUE 4,1.3716968,103.83614
113 BEDOK NORTH STREET 2,1.3303742,103.9352001
113 BEDOK RESERVOIR ROAD,1.3305269,103.91064
113 BISHAN STREET 12,1.3472692,103.848641
113 BUKIT BATOK WEST AVENUE 6,1.3488232,103.7451316
113 BUKIT PURMEI ROAD,1.2748244,103.8269929
113 CLEMENTI STREET 13,1.3236913,103.7701489
113 COMMONWEALTH CRESCENT,1.3068136,103.7979998
113 DEPOT ROAD,1.281438,103.807302
113 HOUGANG AVENUE 1,1.3529001,103.8888534
113 JALAN BUKIT MERAH,1.2805225,103.8258442
113 JURONG EAST STREET 13,1.3360729,103.7437796
113 LENGKONG TIGA,1.32361,103.9119707
113 LORONG 1 TOA PAYOH,1.3412763,103.8447968
113 LORONG 3 GEYLANG,1.3118799,103.8739681
113 PASIR RIS STREET 11,1.3680704,103.9557726
113 PENDING ROAD,1.3783858,103.7693659
113 POTONG PASIR AVENUE 1,1.3362805,103.8634844
113 RIVERVALE WALK,1.3842311,103.9018182
113 SERANGOON NORTH AVENUE 1,1.3687139,103.8704517
113 SIMEI STREET 1,1.3428392,103.9498863
113 TAMPINES STREET 11,1.3465024,103.9462926
113 TAO CHING ROAD,1.3331749,103.7241802
113 TECK WHYE LANE,1.3779962,103.7509495
113 WHAMPOA ROAD,1.3258979,103.8572768
113 WOODLANDS STREET 13,1.4379957,103.7811724
113 YISHUN RING ROAD,1.4344747,103.8286521
113A MCNAIR ROAD,1.3206196,103.859976
113B MCNAIR ROAD,1.3209952,103.8605296
113C MCNAIR ROAD,1.3209423,103.8602671
113D MCNAIR ROAD,1.3202636,103.8598879
114 ANG MO KIO AVENUE 4,1.3726362,103.8361975
114 BEDOK NORTH STREET 2,1.3304835,103.9358082
114 BEDOK RESERVOIR ROAD,1.3305568,103.9097575
114 BISHAN STREET 12,1.3476367,103.8484821
114 BUKIT BATOK WEST AVENUE 6,1.3488706,103.7460241
114 BUKIT PURMEI ROAD,1.2751406,103.8258706
114 CLEMENTI STREET 13,1.3238531,103.7710321
114 DEPOT ROAD,1.281772,103.8068709
114 EDGEFIELD PLAINS,1.3961415,103.9074684
114 HO CHING ROAD,1.3339535,103.7240441
114 HOUGANG AVENUE 1,1.353199,103.8889505
114 LENGKONG TIGA,1.3232157,103.9121031
114 LORONG 1 TOA PAYOH,1.3409204,103.8443054
114 LORONG 3 GEYLANG,1.3115871,103.874091
114 MARSILING RISE,1.4387423,103.7813394
114 PASIR RIS STREET 11,1.3686121,103.9552336
114 PENDING ROAD,1.3779096,103.7698011
114 POTONG PASIR AVENUE 1,1.3368063,103.8633027
114 RIVERVALE WALK,1.3841899,103.9010949
114 SERANGOON NORTH AVENUE 1,1.3688698,103.8714843
114 SIMEI STREET 1,1.3437211,103.950426
114 TAMPINES STREET 11,1.3459796,103.9467738
114 TECK WHYE LANE,1.3785432,103.7509311
114 WHAMPOA ROAD,1.3255628,103.8577397
114 YISHUN RING ROAD,1.4343153,103.8268143
115 BEDOK NORTH ROAD,1.3313891,103.9368316
115 BEDOK RESERVOIR ROAD,1.3306902,103.9086497
115 BISHAN STREET 12,1.3479257,103.8483824
115 BUKIT BATOK WEST AVENUE 6,1.349202,103.7465719
115 BUKIT MERAH CENTRAL,1.2841959,103.8145873
115 BUKIT PURMEI ROAD,1.2752639,103.8266476
115 CLEMENTI STREET 13,1.3238907,103.7714308
115 EDGEFIELD PLAINS,1.3951807,103.9073447
115 HO CHING ROAD,1.3335922,103.7245817
115 HOUGANG AVENUE 1,1.3527648,103.8880203
115 JURONG EAST STREET 13,1.3398765,103.7354927
115 LENGKONG TIGA,1.3231046,103.9113477
115 LORONG 1 TOA PAYOH,1.3406622,103.8443089
115 MARSILING RISE,1.4382892,103.7809742
